Team,Series Won,Series Lost,Games Won,Games Lost,Series Win %,Game Win %
Los Big Dig,8,0,16,1,1.0,0.9411764705882353
League of Lumni,7,1,14,5,0.875,0.7368421052631579
DD4t Paprika,6,2,13,5,0.75,0.7222222222222222
Team Volatility Vortex,5,3,10,8,0.625,0.5555555555555556
LPP Boiz,5,3,11,9,0.625,0.55
Forge Esports Chaos,4,4,12,10,0.5,0.5454545454545454
Iron Dragons,4,4,10,9,0.5,0.5263157894736842
Hardstuck Casterlow,3,5,8,12,0.375,0.4
Big Pharma,2,6,7,13,0.25,0.35
Jobless Piggies,2,6,4,14,0.25,0.2222222222222222
Nefarious Implications,1,7,5,14,0.125,0.2631578947368421
High Alert Engineers,1,7,4,14,0.125,0.2222222222222222
