Team,Series Won,Series Lost,Games Won,Games Lost,Series Win %,Game Win %
DD4t Paprika,8,0,16,2,1.0,0.8888888888888888
Los Big Dig,7,1,15,3,0.875,0.8333333333333334
League of Lumni,7,1,14,5,0.875,0.7368421052631579
Iron Dragons,5,3,11,8,0.625,0.5789473684210527
LPP Boiz,4,4,9,10,0.5,0.47368421052631576
Hardstuck Casterlow,4,4,9,11,0.5,0.45
Forge Esports Chaos,3,5,11,11,0.375,0.5
Big Pharma,3,5,9,11,0.375,0.45
Team Volatility Vortex,3,5,8,12,0.375,0.4
Jobless Piggies,2,6,5,14,0.25,0.2631578947368421
Nefarious Implications,1,7,5,14,0.125,0.2631578947368421
High Alert Engineers,1,7,3,14,0.125,0.17647058823529413
